ann1,ann2,alpha,kappa,AvgObs,type,time,correct,maxconf,total
3,56,0.223204,0.217683,0.700413,nonsymmetric,4.153000,263.000000,248,379
54,57,0.162931,0.153149,0.643799,nonsymmetric,53.736000,244.000000,231,379
39,57,0.164231,0.158500,0.674591,nonsymmetric,45.825000,255.000000,240,379
39,62,0.247377,0.227627,0.581706,nonsymmetric,46.124000,216.000000,188,379
3,16,0.258856,0.241876,0.684877,nonsymmetric,0.240000,257.000000,234,379
6,23,0.252736,0.249267,0.562902,nonsymmetric,5.373000,212.000000,177,379
46,56,0.243193,0.228754,0.591077,nonsymmetric,50.118000,220.000000,194,379
26,39,0.115329,0.054452,0.432445,nonsymmetric,22.074000,162.000000,137,379
57,58,0.152970,0.149894,0.696583,nonsymmetric,54.717000,263.000000,252,379
3,50,0.237824,0.208484,0.622120,nonsymmetric,3.530000,234.000000,209,379
26,58,0.079114,0.003974,0.424534,nonsymmetric,23.882000,159.000000,138,379
26,31,0.174999,0.134902,0.458463,nonsymmetric,20.747000,172.000000,131,379
26,57,0.080150,-0.003628,0.432731,nonsymmetric,23.730000,163.000000,144,379
39,51,0.175305,0.093696,0.395486,nonsymmetric,45.243000,144.000000,110,379
33,51,0.157993,0.086949,0.385862,nonsymmetric,34.441000,142.000000,103,379
46,51,0.230336,0.192132,0.414853,nonsymmetric,49.597000,149.000000,91,379
31,34,0.171494,0.134502,0.450234,nonsymmetric,27.664000,161.000000,143,379
33,58,0.259023,0.254692,0.689565,nonsymmetric,35.101000,259.000000,234,379
44,57,0.158118,0.110265,0.513641,nonsymmetric,47.499000,194.000000,171,379
31,57,0.191926,0.178546,0.648206,nonsymmetric,29.654000,245.000000,227,379
54,56,0.258338,0.254974,0.652608,nonsymmetric,53.592000,246.000000,223,379
3,57,0.173093,0.170475,0.723865,nonsymmetric,4.369000,272.000000,262,379
46,58,0.235627,0.215391,0.606003,nonsymmetric,50.500000,227.000000,201,379
26,44,0.249662,0.241120,0.470191,nonsymmetric,22.272000,176.000000,110,379
6,58,0.288724,0.275212,0.642067,nonsymmetric,9.153000,241.000000,212,379
44,51,0.223313,0.189304,0.379147,nonsymmetric,46.879000,137.000000,84,379
31,50,0.249227,0.239837,0.577863,nonsymmetric,28.873000,217.000000,181,379
44,62,0.215852,0.202027,0.464710,nonsymmetric,47.848000,173.000000,125,379
3,26,0.117465,0.030278,0.455325,nonsymmetric,0.925000,170.000000,150,379
26,56,0.132994,0.076670,0.445932,nonsymmetric,23.537000,167.000000,141,379
54,62,0.242390,0.228377,0.559393,nonsymmetric,53.992000,210.000000,182,379
46,54,0.241273,0.232349,0.573470,nonsymmetric,49.924000,215.000000,183,379
44,56,0.239551,0.213326,0.541214,nonsymmetric,47.329000,203.000000,166,379
46,57,0.184947,0.156056,0.586649,nonsymmetric,50.316000,221.000000,200,379
44,58,0.194299,0.154775,0.527150,nonsymmetric,47.662000,197.000000,169,379
6,34,0.294232,0.272749,0.510506,nonsymmetric,6.871000,180.000000,158,379
30,58,0.293939,0.285777,0.679301,nonsymmetric,26.899000,255.000000,224,379
31,51,0.168402,0.103762,0.378228,nonsymmetric,29.090000,140.000000,99,379
46,50,0.292907,0.288386,0.571135,nonsymmetric,49.350000,213.000000,162,379
44,50,0.177216,0.160338,0.449459,nonsymmetric,46.643000,168.000000,125,379
31,62,0.287606,0.274638,0.582282,nonsymmetric,29.937000,217.000000,178,379
39,56,0.301520,0.299486,0.696234,nonsymmetric,45.641000,261.000000,242,379
33,39,0.354151,0.351999,0.712427,nonsymmetric,33.654000,268.000000,235,379
33,54,0.259923,0.257523,0.646451,nonsymmetric,34.689000,244.000000,216,379
6,50,0.291103,0.286085,0.572291,nonsymmetric,8.202000,215.000000,172,379
33,34,0.201118,0.161589,0.486275,nonsymmetric,33.100000,174.000000,153,379
31,58,0.255132,0.246425,0.666108,nonsymmetric,29.781000,250.000000,227,379
26,34,0.096210,0.054622,0.311214,nonsymmetric,21.422000,107.000000,81,379
33,57,0.210887,0.201624,0.678984,nonsymmetric,34.977000,257.000000,241,379
46,62,0.274020,0.267394,0.545053,nonsymmetric,50.734000,202.000000,152,379
3,30,0.259347,0.245442,0.676974,nonsymmetric,1.179000,253.000000,232,379
26,30,0.121937,0.074890,0.411328,nonsymmetric,20.567000,155.000000,121,379
3,62,0.237690,0.203040,0.602502,nonsymmetric,4.657000,225.000000,198,379
50,58,0.241772,0.220935,0.613325,nonsymmetric,51.797000,231.000000,203,379
21,34,0.177859,0.135729,0.459837,nonsymmetric,15.037000,167.000000,143,379
3,34,0.157255,0.093863,0.488718,nonsymmetric,2.116000,178.000000,166,379
51,58,0.163596,0.067475,0.394892,nonsymmetric,53.063000,144.000000,114,379
3,54,0.207313,0.195967,0.666394,nonsymmetric,3.998000,251.000000,236,379
3,39,0.324514,0.319593,0.741451,nonsymmetric,2.814000,279.000000,256,379
26,62,0.099139,0.064798,0.360352,nonsymmetric,24.077000,133.000000,96,379
26,50,0.084380,0.042836,0.357388,nonsymmetric,22.819000,134.000000,99,379
33,62,0.293456,0.280835,0.603391,nonsymmetric,35.245000,225.000000,186,379
33,46,0.364646,0.357396,0.655264,nonsymmetric,34.090000,246.000000,196,379
3,6,0.251708,0.231802,0.636500,nonsymmetric,0.000000,239.000000,214,379
33,44,0.223368,0.200219,0.526860,nonsymmetric,33.802000,197.000000,159,379
33,50,0.298304,0.290007,0.622995,nonsymmetric,34.263000,235.000000,192,379
3,58,0.297302,0.294478,0.752898,nonsymmetric,4.511000,282.000000,267,379
21,58,0.138179,0.128070,0.627111,nonsymmetric,17.268000,236.000000,219,379
33,56,0.249285,0.245659,0.662296,nonsymmetric,34.836000,249.000000,226,379
3,21,0.160018,0.144898,0.652612,nonsymmetric,0.495000,246.000000,228,379
57,62,0.143177,0.103399,0.545303,nonsymmetric,54.858000,206.000000,188,379
30,51,0.225219,0.175227,0.431832,nonsymmetric,26.265000,158.000000,102,379
54,58,0.240782,0.234614,0.666108,nonsymmetric,53.840000,250.000000,233,379
3,44,0.206950,0.158634,0.545048,nonsymmetric,2.977000,203.000000,175,379
31,44,0.281674,0.266032,0.551755,nonsymmetric,28.395000,208.000000,159,379
39,44,0.213131,0.184089,0.525088,nonsymmetric,44.451000,197.000000,164,379
6,21,0.141602,0.130101,0.528602,nonsymmetric,5.192000,199.000000,173,379
21,23,0.204035,0.193263,0.576979,nonsymmetric,13.975000,217.000000,182,379
31,56,0.264344,0.259537,0.650264,nonsymmetric,29.497000,245.000000,217,379
21,50,0.153269,0.136477,0.530646,nonsymmetric,16.343000,200.000000,170,379
39,50,0.246757,0.231952,0.600145,nonsymmetric,45.016000,225.000000,192,379
3,51,0.140825,0.026728,0.381750,nonsymmetric,3.766000,141.000000,113,379
3,23,0.151651,0.127357,0.601596,nonsymmetric,0.691000,227.000000,209,379
6,16,0.191923,0.181013,0.550312,nonsymmetric,4.864000,206.000000,179,379
30,50,0.287715,0.283984,0.601016,nonsymmetric,26.049000,226.000000,179,379
3,31,0.242147,0.227619,0.673720,nonsymmetric,1.367000,254.000000,236,379
30,34,0.240242,0.211099,0.499121,nonsymmetric,24.824000,179.000000,147,379
39,58,0.357530,0.355108,0.740580,nonsymmetric,45.966000,278.000000,254,379
31,39,0.318161,0.313935,0.678122,nonsymmetric,28.230000,255.000000,223,379
26,51,0.041696,-0.008107,0.223008,nonsymmetric,23.081000,80.000000,79,379
56,58,0.257325,0.254180,0.697467,nonsymmetric,54.345000,262.000000,247,379
