ann1,ann2,alpha,kappa,AvgObs
3,56,0.223204388,0.21768346,0.700413369
34,16,0.136909089,0.092713473,0.427902814
54,57,0.162931091,0.153149122,0.643799472
39,57,0.164230694,0.15850019,0.674591029
39,62,0.247377233,0.227627311,0.581706245
62,16,0.20921608,0.189919423,0.538007916
3,16,0.258856442,0.241876386,0.684876869
6,23,0.252735777,0.249266711,0.562902375
51,6,0.248251691,0.20669695,0.424569041
31,6,0.227211393,0.219734947,0.566420405
46,34,0.243493643,0.218563739,0.471465699
46,56,0.243193129,0.22875426,0.591077397
26,39,0.11532942,0.054451682,0.432445031
26,16,0.260248208,0.218717517,0.514859279
54,26,0.082724788,0.033392444,0.396367634
51,21,0.118301424,0.038379114,0.339547054
30,6,0.284689333,0.280639936,0.597792436
57,58,0.152969546,0.149894339,0.696583113
62,6,0.240586948,0.233605108,0.526855761
3,50,0.237824131,0.208483656,0.622119613
26,58,0.079114417,0.003973718,0.424533861
26,31,0.174998595,0.13490246,0.458463061
26,57,0.080149634,-0.003627761,0.432730871
39,51,0.175304577,0.093695739,0.395485928
54,51,0.121168109,0.049252263,0.342471416
54,23,0.240777704,0.234103513,0.591912929
33,51,0.157992819,0.08694928,0.385861917
50,34,0.260778435,0.236486121,0.490118734
33,6,0.241941015,0.234562063,0.593087071
51,34,0.209391319,0.169803949,0.364567282
34,23,0.245302049,0.218738929,0.487913369
46,51,0.230336103,0.192132362,0.414852682
39,30,0.354735489,0.349541954,0.690738786
56,30,0.326967889,0.32032165,0.673733509
31,34,0.171494429,0.134502144,0.450233509
33,58,0.259023164,0.25469169,0.689564644
33,31,0.328562436,0.325947701,0.675488127
44,6,0.212968294,0.200249444,0.476433597
54,31,0.230669343,0.227026497,0.613034301
44,57,0.158117785,0.11026504,0.513641161
51,50,0.257198511,0.225857402,0.448337731
33,30,0.273879009,0.271224075,0.64469657
31,57,0.191926472,0.17854572,0.648205805
26,23,0.061172066,0.017113654,0.35444591
26,6,0.110503021,0.072923474,0.377616535
62,30,0.334344371,0.328402513,0.613047493
33,3,0.243427433,0.234378132,0.697462621
54,56,0.258337842,0.254973794,0.65260774
62,34,0.25334632,0.231258422,0.475318821
3,57,0.173093064,0.170475035,0.723865435
56,34,0.157940398,0.112880189,0.460332894
46,58,0.235627026,0.215391365,0.606002639
26,44,0.249662284,0.241119653,0.470191293
30,21,0.181533922,0.171757854,0.585778364
54,16,0.205218939,0.199743915,0.605118734
6,58,0.288723968,0.275211657,0.642066843
58,23,0.237195187,0.221804348,0.628865435
44,51,0.223313128,0.189304437,0.379146878
31,50,0.249226645,0.239836596,0.577862797
44,62,0.215852073,0.202026712,0.464709763
3,26,0.117465097,0.030278485,0.455325418
30,23,0.32337771,0.321528549,0.633258575
26,56,0.132993718,0.07666969,0.445932278
46,39,0.307393336,0.294914513,0.628900616
54,62,0.24239017,0.228376536,0.55939314
46,54,0.241272508,0.232349072,0.573469657
44,56,0.239550889,0.213326288,0.54121372
46,57,0.184947355,0.15605623,0.586649077
54,44,0.154350462,0.132580407,0.472308707
57,6,0.108504319,0.084845516,0.56025066
44,58,0.194299051,0.154774935,0.527150396
23,16,0.261494348,0.252682141,0.603377309
39,23,0.316776115,0.307563639,0.652330695
39,6,0.306803018,0.297776223,0.635244063
62,51,0.313745217,0.288734427,0.484700967
56,51,0.141213099,0.054479005,0.362849604
56,6,0.258987558,0.249518502,0.607757256
6,34,0.294231828,0.272748631,0.510505717
46,23,0.254173112,0.250361348,0.560290237
54,21,0.171487995,0.166901438,0.595448549
30,58,0.293938737,0.285776519,0.679300792
39,21,0.174013518,0.167874821,0.621833773
31,51,0.168401817,0.103761689,0.378227792
46,50,0.292906877,0.288386115,0.571134565
58,16,0.210193389,0.197871268,0.65
44,50,0.177215933,0.16033808,0.449459103
31,62,0.287605996,0.274637625,0.582282322
31,16,0.334609531,0.330608489,0.666992084
46,26,0.224868149,0.196007091,0.460919085
56,16,0.269343727,0.262094262,0.656455585
39,56,0.301520394,0.299485828,0.696233509
33,39,0.354151005,0.351998561,0.712427441
33,54,0.25992269,0.257522651,0.646451187
31,30,0.239067748,0.233240341,0.606292876
46,44,0.290219646,0.280243859,0.527453826
6,50,0.29110331,0.286084836,0.572291117
33,34,0.201117998,0.161588877,0.486275286
57,34,0.089058392,0.022848128,0.441757256
31,58,0.25513209,0.246424601,0.666108179
39,16,0.24429596,0.236913519,0.646972296
54,39,0.257469041,0.253915556,0.654366755
44,16,0.259638576,0.240738959,0.541534741
46,3,0.213347188,0.184405616,0.606024626
46,16,0.422289669,0.414866745,0.67700088
46,21,0.347705312,0.338067603,0.638588391
54,34,0.200865841,0.165556674,0.473740106
26,34,0.096210041,0.054621736,0.31121416
33,57,0.210886898,0.201623506,0.678984169
