type,time,ann1,ann2,correct,maxconf,total
nonsymmetric,0,3,6,239,214,379
symmetric,0.104,3,6,9.986754967,1,99
nonsymmetric,0.24,3,16,257,234,379
symmetric,0.389,3,16,9.986449864,1,99
nonsymmetric,0.495,3,21,246,228,379
symmetric,0.614,3,21,9.972752044,1,99
nonsymmetric,0.691,3,23,227,209,379
symmetric,0.809,3,23,9.968454259,1,99
nonsymmetric,0.925,3,26,170,150,379
symmetric,1.086,3,26,9.730978261,1,99
nonsymmetric,1.179,3,30,253,232,379
symmetric,1.295,3,30,9.993920973,1,99
nonsymmetric,1.367,3,31,254,236,379
symmetric,1.511,3,31,9.993527508,1,99
nonsymmetric,1.564,3,32,254,237,379
symmetric,1.706,3,32,9.990881459,1,99
nonsymmetric,1.768,3,33,263,243,379
symmetric,1.862,3,33,9.987692308,1,99
nonsymmetric,2.116,3,34,178,166,379
symmetric,2.621,3,34,9.992805755,1,99
nonsymmetric,2.681,3,37,277,268,379
symmetric,2.758,3,37,9.992063492,1,99
nonsymmetric,2.814,3,39,279,256,379
symmetric,2.914,3,39,9.984848485,1,99
nonsymmetric,2.977,3,44,203,175,379
symmetric,3.092,3,44,9.936639118,1,99
nonsymmetric,3.141,3,45,296,284,379
symmetric,3.255,3,45,9.976878613,1,99
nonsymmetric,3.323,3,46,226,203,379
symmetric,3.472,3,46,9.987460815,1,99
nonsymmetric,3.53,3,50,234,209,379
symmetric,3.64,3,50,9.993846154,1,99
nonsymmetric,3.766,3,51,141,113,379
symmetric,3.953,3,51,9.983957219,1,99
nonsymmetric,3.998,3,54,251,236,379
symmetric,4.079,3,54,9.98679868,1,99
nonsymmetric,4.153,3,56,263,248,379
symmetric,4.324,3,56,9.977848101,1,99
nonsymmetric,4.369,3,57,272,262,379
symmetric,4.452,3,57,9.961538462,1,99
nonsymmetric,4.511,3,58,282,267,379
symmetric,4.593,3,58,9.970501475,1,99
nonsymmetric,4.657,3,62,225,198,379
symmetric,4.791,3,62,9.962318841,1,99
nonsymmetric,4.864,6,16,206,179,379
symmetric,5.094,6,16,9.983098592,1,99
nonsymmetric,5.192,6,21,199,173,379
symmetric,5.312,6,21,9.988636364,1,99
nonsymmetric,5.373,6,23,212,177,379
symmetric,5.479,6,23,9.957928803,1,99
nonsymmetric,5.552,6,26,142,109,379
symmetric,5.724,6,26,9.964383562,1,99
nonsymmetric,5.775,6,30,225,186,379
symmetric,5.942,6,30,9.955489614,1,99
nonsymmetric,5.995,6,31,213,183,379
symmetric,6.129,6,31,10,1,99
nonsymmetric,6.232,6,32,209,184,379
symmetric,6.354,6,32,9.982035928,1,99
nonsymmetric,6.44,6,33,224,190,379
symmetric,6.59,6,33,9.994550409,1,99
nonsymmetric,6.871,6,34,180,158,379
symmetric,7.369,6,34,9.981949458,1,99
nonsymmetric,7.408,6,37,246,223,379
symmetric,7.474,6,37,9.988700565,1,99
nonsymmetric,7.532,6,39,239,208,379
symmetric,7.639,6,39,9.98,1,99
nonsymmetric,7.697,6,44,178,135,379
symmetric,7.802,6,44,9.953424658,1,99
nonsymmetric,7.869,6,45,249,218,379
symmetric,7.949,6,45,9.985835694,1,99
nonsymmetric,8.021,6,46,196,157,379
symmetric,8.153,6,46,9.993442623,1,99
nonsymmetric,8.202,6,50,215,172,379
symmetric,8.289,6,50,9.987341772,1,99
nonsymmetric,8.393,6,51,156,97,379
