ann1,ann2,alpha,kappa,AvgObs,type,time,correct,maxconf,total
3,58,0.297302,0.294478,0.752898,nonsymmetric,4.511,282,267,379
3,39,0.324514,0.319593,0.741451,nonsymmetric,2.814,279,256,379
39,58,0.35753,0.355108,0.74058,nonsymmetric,45.966,278,254,379
3,57,0.173093,0.170475,0.723865,nonsymmetric,4.369,272,262,379
33,39,0.354151,0.351999,0.712427,nonsymmetric,33.654,268,235,379
3,56,0.223204,0.217683,0.700413,nonsymmetric,4.153,263,248,379
57,58,0.15297,0.149894,0.696583,nonsymmetric,54.717,263,252,379
56,58,0.257325,0.25418,0.697467,nonsymmetric,54.345,262,247,379
39,56,0.30152,0.299486,0.696234,nonsymmetric,45.641,261,242,379
33,58,0.259023,0.254692,0.689565,nonsymmetric,35.101,259,234,379
3,16,0.258856,0.241876,0.684877,nonsymmetric,0.24,257,234,379
33,57,0.210887,0.201624,0.678984,nonsymmetric,34.977,257,241,379
31,39,0.318161,0.313935,0.678122,nonsymmetric,28.23,255,223,379
30,58,0.293939,0.285777,0.679301,nonsymmetric,26.899,255,224,379
39,57,0.164231,0.1585,0.674591,nonsymmetric,45.825,255,240,379
3,31,0.242147,0.227619,0.67372,nonsymmetric,1.367,254,236,379
3,30,0.259347,0.245442,0.676974,nonsymmetric,1.179,253,232,379
3,54,0.207313,0.195967,0.666394,nonsymmetric,3.998,251,236,379
31,58,0.255132,0.246425,0.666108,nonsymmetric,29.781,250,227,379
54,58,0.240782,0.234614,0.666108,nonsymmetric,53.84,250,233,379
33,56,0.249285,0.245659,0.662296,nonsymmetric,34.836,249,226,379
33,46,0.364646,0.357396,0.655264,nonsymmetric,34.09,246,196,379
54,56,0.258338,0.254974,0.652608,nonsymmetric,53.592,246,223,379
3,21,0.160018,0.144898,0.652612,nonsymmetric,0.495,246,228,379
31,56,0.264344,0.259537,0.650264,nonsymmetric,29.497,245,217,379
31,57,0.191926,0.178546,0.648206,nonsymmetric,29.654,245,227,379
33,54,0.259923,0.257523,0.646451,nonsymmetric,34.689,244,216,379
54,57,0.162931,0.153149,0.643799,nonsymmetric,53.736,244,231,379
6,58,0.288724,0.275212,0.642067,nonsymmetric,9.153,241,212,379
3,6,0.251708,0.231802,0.6365,nonsymmetric,0,239,214,379
21,58,0.138179,0.12807,0.627111,nonsymmetric,17.268,236,219,379
33,50,0.298304,0.290007,0.622995,nonsymmetric,34.263,235,192,379
3,50,0.237824,0.208484,0.62212,nonsymmetric,3.53,234,209,379
50,58,0.241772,0.220935,0.613325,nonsymmetric,51.797,231,203,379
46,58,0.235627,0.215391,0.606003,nonsymmetric,50.5,227,201,379
3,23,0.151651,0.127357,0.601596,nonsymmetric,0.691,227,209,379
30,50,0.287715,0.283984,0.601016,nonsymmetric,26.049,226,179,379
33,62,0.293456,0.280835,0.603391,nonsymmetric,35.245,225,186,379
39,50,0.246757,0.231952,0.600145,nonsymmetric,45.016,225,192,379
3,62,0.23769,0.20304,0.602502,nonsymmetric,4.657,225,198,379
46,57,0.184947,0.156056,0.586649,nonsymmetric,50.316,221,200,379
46,56,0.243193,0.228754,0.591077,nonsymmetric,50.118,220,194,379
31,62,0.287606,0.274638,0.582282,nonsymmetric,29.937,217,178,379
31,50,0.249227,0.239837,0.577863,nonsymmetric,28.873,217,181,379
21,23,0.204035,0.193263,0.576979,nonsymmetric,13.975,217,182,379
39,62,0.247377,0.227627,0.581706,nonsymmetric,46.124,216,188,379
6,50,0.291103,0.286085,0.572291,nonsymmetric,8.202,215,172,379
46,54,0.241273,0.232349,0.57347,nonsymmetric,49.924,215,183,379
46,50,0.292907,0.288386,0.571135,nonsymmetric,49.35,213,162,379
6,23,0.252736,0.249267,0.562902,nonsymmetric,5.373,212,177,379
54,62,0.24239,0.228377,0.559393,nonsymmetric,53.992,210,182,379
31,44,0.281674,0.266032,0.551755,nonsymmetric,28.395,208,159,379
6,16,0.191923,0.181013,0.550312,nonsymmetric,4.864,206,179,379
57,62,0.143177,0.103399,0.545303,nonsymmetric,54.858,206,188,379
44,56,0.239551,0.213326,0.541214,nonsymmetric,47.329,203,166,379
3,44,0.20695,0.158634,0.545048,nonsymmetric,2.977,203,175,379
46,62,0.27402,0.267394,0.545053,nonsymmetric,50.734,202,152,379
21,50,0.153269,0.136477,0.530646,nonsymmetric,16.343,200,170,379
6,21,0.141602,0.130101,0.528602,nonsymmetric,5.192,199,173,379
33,44,0.223368,0.200219,0.52686,nonsymmetric,33.802,197,159,379
39,44,0.213131,0.184089,0.525088,nonsymmetric,44.451,197,164,379
44,58,0.194299,0.154775,0.52715,nonsymmetric,47.662,197,169,379
44,57,0.158118,0.110265,0.513641,nonsymmetric,47.499,194,171,379
6,34,0.294232,0.272749,0.510506,nonsymmetric,6.871,180,158,379
30,34,0.240242,0.211099,0.499121,nonsymmetric,24.824,179,147,379
3,34,0.157255,0.093863,0.488718,nonsymmetric,2.116,178,166,379
26,44,0.249662,0.24112,0.470191,nonsymmetric,22.272,176,110,379
33,34,0.201118,0.161589,0.486275,nonsymmetric,33.1,174,153,379
44,62,0.215852,0.202027,0.46471,nonsymmetric,47.848,173,125,379
26,31,0.174999,0.134902,0.458463,nonsymmetric,20.747,172,131,379
3,26,0.117465,0.030278,0.455325,nonsymmetric,0.925,170,150,379
